File............:  2026-07-22_cv_cell_5 - JUL,22.2026

System..........:  1624_BZm282_020c
Temperature.....:  -0.6+-0.0C
Time............:  13:45:23-13:48:34
Slewrate........:  20mV/s
Comment.........:  CV Cell05
                   
                   
                   
                   
Electr.area/sqcm:  282
Reference.......:   0.3849688,  0.2500000 PO/PF -3, 12319
Cyclic voltammogram

Lines:   6063
Columns: 3

Number     Time/s     Potential/V    Current/A 
1         0.000e+00      0.070031   -5.7352e-02
2         3.150e-02      0.070031   -3.9831e-02
3         6.300e-02      0.070031   -4.3708e-02
4         9.450e-02      0.070031   -3.2902e-02
5         1.260e-01      0.070031   -3.8853e-02
6         1.575e-01      0.070031   -2.2010e-02
7         1.890e-01      0.070031   -3.7006e-02
8         2.205e-01      0.070031   -4.7529e-02
9         2.520e-01      0.070031   -2.6295e-02
10        2.835e-01      0.070031   -4.8596e-02
11        3.150e-01      0.070031   -3.2845e-02
12        3.465e-01      0.070031   -3.7194e-02
13        3.780e-01      0.070031   -4.4720e-02
14        4.095e-01      0.070031   -2.8445e-02
15        4.410e-01      0.070031   -3.0049e-02
16        4.725e-01      0.070031   -3.2446e-02
17        5.040e-01      0.070031   -4.0972e-02
18        5.355e-01      0.070031   -4.8356e-02
19        5.670e-01      0.070031   -4.6867e-02
20        5.985e-01      0.070031   -3.5194e-02
21        6.300e-01      0.070031   -3.3920e-02
22        6.615e-01      0.070031   -4.4511e-02
23        6.930e-01      0.070031   -3.5958e-02
24        7.245e-01      0.070031   -5.5364e-02
25        7.560e-01      0.070031   -4.7604e-02
26        7.875e-01      0.070031   -3.7970e-02
27        8.190e-01      0.070031   -4.2574e-02
28        8.505e-01      0.070031   -3.8681e-02
29        8.820e-01      0.070031   -6.0105e-02
30        9.135e-01      0.070031   -3.5937e-02
31        9.450e-01      0.070031   -5.0823e-02
32        9.765e-01      0.070062   -4.1963e-02
33        1.008e+00      0.070531    6.8562e-01
34        1.040e+00      0.071156    1.1492e+00
35        1.071e+00      0.071781    1.3844e+00
36        1.103e+00      0.072406    1.4192e+00
37        1.134e+00      0.073031    1.5038e+00
38        1.166e+00      0.073656    1.5085e+00
39        1.197e+00      0.074281    1.5746e+00
40        1.229e+00      0.074937    1.5785e+00
41        1.260e+00      0.075562    1.5925e+00
42        1.292e+00      0.076187    1.6098e+00
43        1.323e+00      0.076813    1.6094e+00
44        1.355e+00      0.077437    1.6644e+00
45        1.386e+00      0.078094    1.6735e+00
46        1.418e+00      0.078719    1.7346e+00
47        1.449e+00      0.079344    1.7230e+00
48        1.481e+00      0.079969    1.7519e+00
49        1.512e+00      0.080625    1.7353e+00
50        1.544e+00      0.081250    1.8033e+00
51        1.575e+00      0.081875    1.7861e+00
52        1.607e+00      0.082500    1.8686e+00
53        1.638e+00      0.083125    1.8368e+00
54        1.670e+00      0.083750    1.8914e+00
55        1.701e+00      0.084406    1.8414e+00
56        1.733e+00      0.085031    1.9133e+00
57        1.764e+00      0.085656    1.8862e+00
58        1.796e+00      0.086281    1.9511e+00
59        1.827e+00      0.086906    1.9573e+00
60        1.859e+00      0.087531    1.9712e+00
61        1.890e+00      0.088187    1.9779e+00
62        1.922e+00      0.088813    1.9700e+00
63        1.953e+00      0.089437    2.0037e+00
64        1.985e+00      0.090062    2.0258e+00
65        2.016e+00      0.090719    2.0690e+00
66        2.048e+00      0.091344    2.0520e+00
67        2.079e+00      0.091969    2.0679e+00
68        2.111e+00      0.092594    2.0590e+00
69        2.142e+00      0.093219    2.0987e+00
70        2.174e+00      0.093844    2.0812e+00
71        2.205e+00      0.094500    2.1434e+00
72        2.237e+00      0.095125    2.0967e+00
73        2.268e+00      0.095750    2.1565e+00
74        2.300e+00      0.096375    2.0604e+00
75        2.331e+00      0.097000    2.1610e+00
76        2.363e+00      0.097625    2.1196e+00
77        2.394e+00      0.098281    2.2284e+00
78        2.426e+00      0.098906    2.1961e+00
79        2.457e+00      0.099531    2.1830e+00
80        2.489e+00      0.100156    2.1611e+00
81        2.520e+00      0.100813    2.1591e+00
82        2.552e+00      0.101438    2.1629e+00
83        2.583e+00      0.102063    2.1742e+00
84        2.615e+00      0.102688    2.1944e+00
85        2.646e+00      0.103313    2.1764e+00
86        2.678e+00      0.103938    2.1793e+00
87        2.709e+00      0.104594    2.1668e+00
88        2.741e+00      0.105219    2.1789e+00
89        2.772e+00      0.105844    2.1644e+00
90        2.804e+00      0.106469    2.2183e+00
91        2.835e+00      0.107094    2.1735e+00
92        2.867e+00      0.107719    2.2014e+00
93        2.898e+00      0.108375    2.1286e+00
94        2.930e+00      0.109000    2.1920e+00
95        2.961e+00      0.109625    2.1475e+00
96        2.993e+00      0.110250    2.1991e+00
97        3.024e+00      0.110906    2.1591e+00
98        3.056e+00      0.111500    2.1806e+00
99        3.087e+00      0.112156    2.1557e+00
100       3.119e+00      0.112781    2.1460e+00
101       3.150e+00      0.113406    2.1600e+00
102       3.182e+00      0.114031    2.1662e+00
103       3.213e+00      0.114688    2.1773e+00
104       3.245e+00      0.115313    2.1717e+00
105       3.276e+00      0.115938    2.1492e+00
106       3.308e+00      0.116563    2.1326e+00
107       3.339e+00      0.117188    2.1534e+00
108       3.371e+00      0.117813    2.1504e+00
109       3.402e+00      0.118469    2.1769e+00
110       3.434e+00      0.119094    2.1424e+00
111       3.465e+00      0.119719    2.1661e+00
112       3.497e+00      0.120344    2.1155e+00
113       3.528e+00      0.121000    2.1695e+00
114       3.560e+00      0.121594    2.1146e+00
115       3.591e+00      0.122250    2.1869e+00
116       3.623e+00      0.122875    2.1357e+00
117       3.654e+00      0.123500    2.1627e+00
118       3.686e+00      0.124125    2.1296e+00
119       3.717e+00      0.124781    2.1409e+00
120       3.749e+00      0.125406    2.1365e+00
121       3.780e+00      0.126031    2.1451e+00
122       3.812e+00      0.126656    2.1502e+00
123       3.843e+00      0.127281    2.1470e+00
124       3.875e+00      0.127906    2.1302e+00
125       3.906e+00      0.128563    2.1247e+00
126       3.938e+00      0.129188    2.1286e+00
127       3.969e+00      0.129813    2.1476e+00
128       4.001e+00      0.130438    2.2375e+00
129       4.032e+00      0.131063    2.1672e+00
130       4.064e+00      0.131688    2.1562e+00
131       4.095e+00      0.132344    2.1113e+00
132       4.127e+00      0.132969    2.1655e+00
133       4.158e+00      0.133594    2.0972e+00
134       4.190e+00      0.134219    2.1612e+00
135       4.221e+00      0.134875    2.1055e+00
136       4.253e+00      0.135500    2.1541e+00
137       4.284e+00      0.136125    2.0844e+00
138       4.316e+00      0.136750    2.1240e+00
139       4.347e+00      0.137375    2.1011e+00
140       4.379e+00      0.138000    2.1142e+00
141       4.410e+00      0.138656    2.1077e+00
142       4.442e+00      0.139281    2.1145e+00
143       4.473e+00      0.139906    2.0914e+00
144       4.505e+00      0.140531    2.0851e+00
145       4.536e+00      0.141156    2.0659e+00
146       4.568e+00      0.141781    2.0830e+00
147       4.599e+00      0.142438    2.0717e+00
148       4.631e+00      0.143063    2.0721e+00
149       4.662e+00      0.143688    2.0729e+00
150       4.694e+00      0.144313    2.0300e+00
151       4.725e+00      0.144969    2.0742e+00
152       4.757e+00      0.145594    2.0274e+00
153       4.788e+00      0.146219    2.0806e+00
154       4.820e+00      0.146844    2.0200e+00
155       4.851e+00      0.147469    2.0464e+00
156       4.883e+00      0.148094    1.9926e+00
157       4.914e+00      0.148750    2.0236e+00
158       4.946e+00      0.149375    1.9929e+00
159       4.977e+00      0.150000    2.0154e+00
160       5.009e+00      0.150625    1.9856e+00
161       5.040e+00      0.151250    1.9999e+00
162       5.072e+00      0.151875    1.9729e+00
163       5.103e+00      0.152531    1.9742e+00
164       5.135e+00      0.153156    1.9512e+00
165       5.166e+00      0.153781    1.9755e+00
166       5.198e+00      0.154406    1.9638e+00
167       5.229e+00      0.155063    1.9616e+00
168       5.261e+00      0.155688    1.9422e+00
169       5.292e+00      0.156313    1.9278e+00
170       5.324e+00      0.156938    1.9439e+00
171       5.355e+00      0.157563    1.9209e+00
172       5.387e+00      0.158188    1.9539e+00
173       5.418e+00      0.158844    1.9056e+00
174       5.450e+00      0.159469    1.9365e+00
175       5.481e+00      0.160094    1.8762e+00
176       5.513e+00      0.160719    1.9284e+00
177       5.544e+00      0.161344    1.8837e+00
178       5.576e+00      0.161969    1.9350e+00
179       5.607e+00      0.162625    1.9183e+00
180       5.639e+00      0.163250    1.9203e+00
181       5.670e+00      0.163875    1.8913e+00
182       5.702e+00      0.164531    1.8846e+00
183       5.733e+00      0.165125    1.8647e+00
184       5.765e+00      0.165781    1.8982e+00
185       5.796e+00      0.166406    1.8724e+00
186       5.828e+00      0.167031    1.8935e+00
187       5.859e+00      0.167656    1.8671e+00
188       5.891e+00      0.168281    1.8680e+00
189       5.922e+00      0.168938    1.8678e+00
190       5.954e+00      0.169563    1.8734e+00
191       5.985e+00      0.170188    1.8897e+00
192       6.017e+00      0.170813    1.8600e+00
193       6.048e+00      0.171438    1.8876e+00
194       6.080e+00      0.172063    1.8478e+00
195       6.111e+00      0.172719    1.8786e+00
196       6.143e+00      0.173344    1.8465e+00
197       6.174e+00      0.173969    1.8841e+00
198       6.206e+00      0.174625    1.8575e+00
199       6.237e+00      0.175219    1.8768e+00
200       6.269e+00      0.175875    1.8499e+00
201       6.300e+00      0.176500    1.8589e+00
202       6.332e+00      0.177125    1.8450e+00
203       6.363e+00      0.177750    1.8875e+00
204       6.395e+00      0.178375    1.8671e+00
205       6.426e+00      0.179031    1.8857e+00
206       6.458e+00      0.179656    1.8465e+00
207       6.489e+00      0.180281    1.8669e+00
208       6.521e+00      0.180906    1.8588e+00
209       6.552e+00      0.181531    1.8664e+00
210       6.584e+00      0.182156    1.8765e+00
211       6.615e+00      0.182813    1.8650e+00
212       6.647e+00      0.183438    1.8904e+00
213       6.678e+00      0.184063    1.8568e+00
214       6.710e+00      0.184688    1.8848e+00
215       6.741e+00      0.185313    1.8681e+00
216       6.773e+00      0.185969    1.9038e+00
217       6.804e+00      0.186594    1.8848e+00
218       6.836e+00      0.187219    1.8984e+00
219       6.867e+00      0.187844    1.8866e+00
220       6.899e+00      0.188500    1.8904e+00
221       6.930e+00      0.189125    1.8792e+00
222       6.962e+00      0.189750    1.9196e+00
223       6.993e+00      0.190375    1.8947e+00
224       7.025e+00      0.191000    1.9325e+00
225       7.056e+00      0.191625    1.8952e+00
226       7.088e+00      0.192250    1.9292e+00
227       7.119e+00      0.192906    1.8989e+00
228       7.151e+00      0.193531    1.9352e+00
229       7.182e+00      0.194156    1.9558e+00
230       7.214e+00      0.194781    1.9559e+00
231       7.245e+00      0.195406    1.9527e+00
232       7.277e+00      0.196063    1.9378e+00
233       7.308e+00      0.196688    1.9592e+00
234       7.340e+00      0.197313    1.9519e+00
235       7.371e+00      0.197938    1.9802e+00
236       7.403e+00      0.198594    1.9681e+00
