File............:  2026-07-22_cv_cell_15 - JUL,22.2026

System..........:  1624_BZm282_020c
Temperature.....:  -0.6+-0.0C
Time............:  14:35:57-14:39:08
Slewrate........:  20mV/s
Comment.........:  CV Cell15
                   
                   
                   
                   
Electr.area/sqcm:  282
Reference.......:   0.3849688,  0.2500000 PO/PF -3, 12319
Cyclic voltammogram

Lines:   6063
Columns: 3

Number     Time/s     Potential/V    Current/A 
1         0.000e+00      0.070031   -5.5898e-02
2         3.150e-02      0.070031   -6.1511e-02
3         6.300e-02      0.070031   -5.4633e-02
4         9.450e-02      0.070031   -5.7090e-02
5         1.260e-01      0.070031   -4.8557e-02
6         1.575e-01      0.070031   -5.3013e-02
7         1.890e-01      0.070031   -5.3990e-02
8         2.205e-01      0.070031   -4.3244e-02
9         2.520e-01      0.070031   -5.5458e-02
10        2.835e-01      0.070031   -4.5537e-02
11        3.150e-01      0.070031   -5.3202e-02
12        3.465e-01      0.070031   -4.9758e-02
13        3.780e-01      0.070031   -4.8649e-02
14        4.095e-01      0.070031   -5.6245e-02
15        4.410e-01      0.070031   -5.9539e-02
16        4.725e-01      0.070031   -6.7743e-02
17        5.040e-01      0.070031   -5.9092e-02
18        5.355e-01      0.070031   -8.8078e-02
19        5.670e-01      0.070031   -9.3068e-02
20        5.985e-01      0.070031   -8.2923e-02
21        6.300e-01      0.070031   -9.5121e-02
22        6.615e-01      0.070031   -7.6961e-02
23        6.930e-01      0.070031   -1.1564e-01
24        7.245e-01      0.070031   -1.1051e-01
25        7.560e-01      0.070031   -1.1815e-01
26        7.875e-01      0.070031   -1.1766e-01
27        8.190e-01      0.070031   -1.2622e-01
28        8.505e-01      0.070031   -1.3099e-01
29        8.820e-01      0.070031   -1.3351e-01
30        9.135e-01      0.070031   -1.5517e-01
31        9.450e-01      0.070031   -1.6796e-01
32        9.765e-01      0.070062   -1.4759e-01
33        1.008e+00      0.070531    5.6327e-01
34        1.040e+00      0.071156    1.0562e+00
35        1.071e+00      0.071781    1.2627e+00
36        1.103e+00      0.072406    1.2991e+00
37        1.134e+00      0.073031    1.3728e+00
38        1.166e+00      0.073656    1.4024e+00
39        1.197e+00      0.074281    1.4608e+00
40        1.229e+00      0.074937    1.4736e+00
41        1.260e+00      0.075562    1.5219e+00
42        1.292e+00      0.076187    1.4960e+00
43        1.323e+00      0.076813    1.5377e+00
44        1.355e+00      0.077437    1.5903e+00
45        1.386e+00      0.078094    1.6164e+00
46        1.418e+00      0.078719    1.6766e+00
