File............:  genstack1516-010c_2025-01-10_cv_cathode_cell01 - JAN,10.2025

System..........:  GenStack1516-010C
Temperature.....:  Cl70,DPT.A/C54,T.Si.A/C75
Time............:  13:02:45-13:05:55
Slewrate........:  20mV/s
Comment.........:  Cell01_Cathode
                   p_So_C/A 0,5barg
                   ZENIUM_45085
                   PP212#33033
                   
Electr.area/sqcm:  280
Reference.......:   0.3874688,  0.2500000 PO/PF -3, 12399
Cyclic voltammogram

Lines:   45119
Columns: 3

Number     Time/s     Potential/V    Current/A 
1         0.000e+00      0.075031   -5.9612e+00
2         4.200e-03      0.075031   -1.7369e+00
3         8.400e-03      0.075031   -9.4614e-01
4         1.260e-02      0.075031   -8.9497e-01
5         1.680e-02      0.075031   -1.0477e+00
6         2.100e-02      0.075031   -1.1793e+00
7         2.520e-02      0.075031   -1.2725e+00
8         2.940e-02      0.075031   -1.3510e+00
9         3.360e-02      0.075031   -1.4325e+00
10        3.780e-02      0.075031   -1.5330e+00
11        4.200e-02      0.075031   -1.5764e+00
12        4.620e-02      0.075031   -1.5756e+00
13        5.040e-02      0.075031   -1.5575e+00
14        5.460e-02      0.075031   -1.5687e+00
15        5.880e-02      0.075031   -1.6072e+00
16        6.300e-02      0.075031   -1.6226e+00
17        6.720e-02      0.075031   -1.6307e+00
18        7.140e-02      0.075031   -1.6422e+00
19        7.560e-02      0.075031   -1.6251e+00
20        7.980e-02      0.075031   -1.6625e+00
21        8.400e-02      0.075031   -1.6775e+00
22        8.820e-02      0.075031   -1.6664e+00
23        9.240e-02      0.075031   -1.6671e+00
24        9.660e-02      0.075031   -1.6878e+00
25        1.008e-01      0.075031   -1.7026e+00
26        1.050e-01      0.075031   -1.6964e+00
27        1.092e-01      0.075031   -1.6792e+00
28        1.134e-01      0.075031   -1.6779e+00
29        1.176e-01      0.075031   -1.6954e+00
30        1.218e-01      0.075031   -1.7010e+00
31        1.260e-01      0.075031   -1.7087e+00
32        1.302e-01      0.075031   -1.6996e+00
33        1.344e-01      0.075031   -1.6853e+00
34        1.386e-01      0.075031   -1.7116e+00
35        1.428e-01      0.075031   -1.7159e+00
36        1.470e-01      0.075031   -1.7153e+00
37        1.512e-01      0.075031   -1.7114e+00
38        1.554e-01      0.075031   -1.6968e+00
39        1.596e-01      0.075031   -1.7000e+00
40        1.638e-01      0.075031   -1.7128e+00
41        1.680e-01      0.075031   -1.6938e+00
42        1.722e-01      0.075031   -1.6973e+00
43        1.764e-01      0.075031   -1.7086e+00
44        1.806e-01      0.075031   -1.7009e+00
45        1.848e-01      0.075031   -1.7167e+00
46        1.890e-01      0.075031   -1.7001e+00
47        1.932e-01      0.075031   -1.6898e+00
48        1.974e-01      0.075031   -1.6982e+00
49        2.016e-01      0.075031   -1.6950e+00
50        2.058e-01      0.075031   -1.6995e+00
51        2.100e-01      0.075031   -1.6872e+00
52        2.142e-01      0.075031   -1.6799e+00
53        2.184e-01      0.075031   -1.7068e+00
54        2.226e-01      0.075031   -1.7051e+00
55        2.268e-01      0.075031   -1.6952e+00
56        2.310e-01      0.075031   -1.6896e+00
57        2.352e-01      0.075031   -1.6858e+00
58        2.394e-01      0.075031   -1.7117e+00
59        2.436e-01      0.075031   -1.7129e+00
60        2.478e-01      0.075031   -1.6980e+00
61        2.520e-01      0.075031   -1.6881e+00
62        2.562e-01      0.075031   -1.6907e+00
63        2.604e-01      0.075031   -1.7053e+00
64        2.646e-01      0.075031   -1.7111e+00
65        2.688e-01      0.075031   -1.6903e+00
66        2.730e-01      0.075031   -1.6929e+00
67        2.772e-01      0.075031   -1.7028e+00
68        2.814e-01      0.075031   -1.7045e+00
69        2.856e-01      0.075031   -1.7129e+00
70        2.898e-01      0.075031   -1.7005e+00
71        2.940e-01      0.075031   -1.6847e+00
72        2.982e-01      0.075031   -1.6962e+00
73        3.024e-01      0.075031   -1.6899e+00
74        3.066e-01      0.075031   -1.6798e+00
75        3.108e-01      0.075031   -1.6907e+00
76        3.150e-01      0.075031   -1.6920e+00
77        3.192e-01      0.075031   -1.7124e+00
78        3.234e-01      0.075031   -1.6977e+00
79        3.276e-01      0.075031   -1.6957e+00
80        3.318e-01      0.075031   -1.6889e+00
81        3.360e-01      0.075031   -1.6838e+00
82        3.402e-01      0.075031   -1.7085e+00
83        3.444e-01      0.075031   -1.7172e+00
84        3.486e-01      0.075031   -1.6965e+00
85        3.528e-01      0.075031   -1.7047e+00
86        3.570e-01      0.075031   -1.7488e+00
87        3.612e-01      0.075031   -1.7824e+00
88        3.654e-01      0.075031   -1.7896e+00
89        3.696e-01      0.075031   -1.7456e+00
90        3.738e-01      0.075031   -1.7001e+00
91        3.780e-01      0.075031   -1.6629e+00
92        3.822e-01      0.075031   -1.6506e+00
93        3.864e-01      0.075031   -1.6652e+00
94        3.906e-01      0.075031   -1.6776e+00
95        3.948e-01      0.075031   -1.6629e+00
